Date,Dom_plac_final,ext_plac_joun,Dom_plac_joun,Victoire_dom,Derby,ext_plac_final,Journee,Resultat,Heure,Temp,Domicile,Capacite,Affluence,exterieur,Jours
27-11-2016,4,3,7,63.2,1,2,14,1-2,20:45,282.15,Olympique de lyonnais,59186,55107,Paris Saint-Germain FC,dim
28-01-2012,4,14,4,68.4,0,19,21,3-1,19:00,278.25,Olympique de lyonnais,41044,35650,Dijon FCO,ven
28-01-2017,4,11,4,63.2,0,11,22,1-2,17:00,281.75,Olympique de lyonnais,59186,35479,Lille OSC,ven
28-02-2016,2,1,3,63.2,1,1,28,2-1,21:00,279.15,Olympique de lyonnais,59186,56662,Paris Saint-Germain FC,dim
28-04-2013,3,4,3,57.9,1,5,34,1-1,14:00,284.55,Olympique de lyonnais,41044,38845,AS Saint-Etienne,dim
28-04-2018,3,10,2,63.2,0,9,35,2-0,17:00,288.05,Olympique de lyonnais,59186,50443,FC Nantes,ven
28-09-2013,5,4,9,42.1,0,3,8,0-0,20:00,294.55,Olympique de lyonnais,41044,39717,Lille OSC,ven
28-11-2010,3,4,8,57.9,1,4,15,2-2,21:00,274.45,Olympique de lyonnais,41044,34965,Paris Saint-Germain FC,dim
29-10-2011,4,8,4,68.4,1,7,12,2-0,21:00,289.95,Olympique de lyonnais,41044,38982,AS Saint-Etienne,ven
29-10-2017,3,20,3,63.2,0,20,11,2-0,15:00,286.85,Olympique de lyonnais,59186,53921,FC Metz,dim
29-11-2017,3,18,3,63.2,0,17,15,1-2,19:00,277.55,Olympique de lyonnais,59186,31679,Lille OSC,mer
30-03-2014,5,4,5,42.1,1,4,31,1-2,21:00,291.25,Olympique de lyonnais,41044,36822,AS Saint-Etienne,dim
30-04-2016,2,17,2,63.2,0,19,36,2-1,21:00,282.65,Olympique de lyonnais,59186,50546,GFC Ajaccio,ven
30-09-2012,3,5,3,57.9,0,7,7,0-2,21:00,290.65,Olympique de lyonnais,41044,30892,FC Girondins de Bordeaux,dim
30-10-2010,3,16,10,57.9,0,5,11,2-1,19:00,286.85,Olympique de lyonnais,41044,33992,FC Sochaux-Montbeliard,ven
31-01-2010,2,14,5,63.2,1,13,22,2-1,21:00,277.15,Olympique de lyonnais,41044,34157,Paris Saint-Germain FC,dim
31-03-2013,3,17,3,57.9,0,15,30,1-2,21:00,278.15,Olympique de lyonnais,41044,34696,FC Sochaux-Montbeliard,dim
